Keep;Column;Value
True;Postcode_district;BR1
True;Postcode_district;BR2
True;Postcode_district;BR3
False;Postcode_district;BR4
True;Postcode_district;BR5
True;Postcode_district;BR6
False;Postcode_district;BR7
False;Postcode_district;BR8
True;Postcode_district;CM13
False;Postcode_district;CM14
True;Postcode_district;CR0
True;Postcode_district;CR2
False;Postcode_district;CR3
True;Postcode_district;CR4
False;Postcode_district;CR5
False;Postcode_district;CR6
True;Postcode_district;CR7
True;Postcode_district;CR8
True;Postcode_district;CR9
True;Postcode_district;DA14
True;Postcode_district;DA15
False;Postcode_district;DA16
True;Postcode_district;DA17
False;Postcode_district;DA18
False;Postcode_district;DA1
False;Postcode_district;DA5
True;Postcode_district;DA6
True;Postcode_district;DA7
True;Postcode_district;DA8
True;Postcode_district;E10
True;Postcode_district;E11
True;Postcode_district;E12
True;Postcode_district;E13
True;Postcode_district;E14
True;Postcode_district;E15
True;Postcode_district;E16
True;Postcode_district;E17
True;Postcode_district;E18
True;Postcode_district;E1W
True;Postcode_district;E1
True;Postcode_district;E20
True;Postcode_district;E22
True;Postcode_district;E2
True;Postcode_district;E3
True;Postcode_district;E4
True;Postcode_district;E5
True;Postcode_district;E6
True;Postcode_district;E7
True;Postcode_district;E8
True;Postcode_district;E9
True;Postcode_district;EC1A
True;Postcode_district;EC1M
True;Postcode_district;EC1N
True;Postcode_district;EC1R
True;Postcode_district;EC1V
True;Postcode_district;EC1Y
True;Postcode_district;EC2A
True;Postcode_district;EC2M
True;Postcode_district;EC2N
False;Postcode_district;EC2P
True;Postcode_district;EC2R
True;Postcode_district;EC2V
True;Postcode_district;EC2Y
True;Postcode_district;EC3A
True;Postcode_district;EC3M
True;Postcode_district;EC3N
True;Postcode_district;EC3P
True;Postcode_district;EC3R
True;Postcode_district;EC3V
True;Postcode_district;EC4A
True;Postcode_district;EC4M
True;Postcode_district;EC4N
True;Postcode_district;EC4R
True;Postcode_district;EC4V
True;Postcode_district;EC4Y
True;Postcode_district;EN1
False;Postcode_district;EN2
True;Postcode_district;EN3
True;Postcode_district;EN4
True;Postcode_district;EN5
True;Postcode_district;EN6
True;Postcode_district;EN7
